;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; CSS; JavaScript; HTML; HTML5;JavaScript; Git; CSS3; Node.js; ООП; React; jQuery; Ajax; Redux; Кроссбраузерная верстка; Frontend;HTML; webpack;Git; Vue; Sass;Другие навыки
0;12;Middle Backend developer (Node.js);7.0;5.0;Содружество;2019-12-12T11:42:33+0300;"Мы занимаемся разработкой программных продуктов для анализа и скоринга контрагентов. Ищем в команду крутого Middle Backend developer (Node.js) Задачи: • проектирование и создание ПО; • разработка и отладка программного кода; • написание, тестирование и поддержка старой и новой функциональности; • анализ и оптимизация имеющегося кода; • работа со средствами автоматизированного тестирования. Требования: • опыт работы в компаниях от 2-х лет на похожей должности; • умение разбираться в чужом коде; • знание JavaScript + Node.JS на высоком уровне (дополнительным плюсом – знание Bull); • опыт работы с api, разными форматами данных(JSON, XML, CSV); • опыт работы с базами данных (MongoDB, Elasticsearch, PostgreSQL); • знание React, Gitlab, Jira • понимание Redis; • отличная самоорганизация и ответственность; Условия: • Заработная плата обсуждается на собеседовании, от 150 тыс. руб. до 200 тыс. рублей в мес. на руки; • Возможность удаленной работы либо в офисе в Москве; • Офис в БЦ «NEO GEO», 10 минут от метро Калужская; • При работе в офисе с 09:00 до 18:00 или с 10:00 до 19:00, 1 час обеденный перерыв; • Полная занятость 5/2, СБ и ВС – выходные; • Трудоустройство по ТК РФ; • Крутой стек; • Вы видите реальный результат своей работы, он сразу выходит на рынок; • Быстрый карьерный рост.";" • Заработная плата обсуждается на собеседовании, от 150 тыс. руб. до 200 тыс. рублей в мес. на руки; • Возможность удаленной работы либо в офисе в Москве; • Офис в БЦ «NEO GEO», 10 минут от метро Калужская; • При работе в офисе с 09:00 до 18:00 или с 10:00 до 19:00, 1 час обеденный перерыв; • Полная занятость 5/2, СБ и ВС – выходные; • Трудоустройство по ТК РФ; • Крутой стек; • Вы видите реальный результат своей работы, он сразу выходит на рынок; • Быстрый карьерный рост.";Опыт работы в компаниях от 2-х лет на похожей должности. Умение разбираться в чужом коде. Знание JavaScript + Node.JS...;Проектирование и создание ПО. Разработка и отладка программного кода. Написание, тестирование и поддержка старой и новой функциональности. Анализ и оптимизация...;" CSS; JavaScript; HTML; HTML5;JavaScript";12;0.0;Frontend;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;13;Frontend-разработчик React (Junior / Middle);3.0;3.0;Zonesmart;2019-12-11T16:32:27+0300;"Zonesmart – официальный сервис-партнер eBay в России, экспортная платформа для прогнозируемого роста бизнеса производственных или трейдерских компаний. Размещение на Amazon, eBay и Etsy, в торгово-розничных сетях, организация логистики, получение сертификатов, маркетинг, валютный контроль — все это в едином окне Zonesmart. На текущий момент мы ищем в команду разработчика на ReactJS (Junior / Middle) для создания личного кабинета пользователя, который позволит взаимодействовать с e-commerce платформами. Что предстоит делать:  Создавать SPA на основе бэкенда, реализованного на Django REST Framework; Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Писать современный JavaScript код;  От нашего кандидата ожидаем:  Опыт разработки приложений с помощью React; Владение нативным JavaScript; Опыт работы с Git;  Будет плюсом, но не обязательно:  Владение кроссбраузерной вёрсткой с использованием HTML5 и CSS3; Опыт написания Unit тестов; Опыт работы с Docker; Знание принципов работы REST-приложения;  Что мы можем предложить:  Гибкий график работы; Комфортный офис; Молодой коллектив; Минимум бюрократии; Огромное множество интересных задач сегодня и в перспективе; Сокращенный испытательный срок; Официальное трудоустройство; Покупка профильной литературы;  Мы будем очень рады, если вы прикрепите ссылку на github или отправите ссылку на gist с примером React приложений.";;Опыт разработки приложений с помощью React. Владение нативным JavaScript. Опыт работы с Git. Владение кроссбраузерной вёрсткой с использованием HTML5...;Создавать SPA на основе бэкенда, реализованного на Django REST Framework. Участвовать в проектировании и обсуждении архитектурных решений для будущих и...;"JavaScript; Git; Docker; HTML; CSS; React; Frontend";13;0.16666666666666666;Frontend;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
2;38;GUI программист/Frontend-разработчик;4.0;4.0;Gaijin Entertainment;2019-12-12T14:34:43+0300;"Gaijin Entertainment - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Nintendo Switch/Mac/Linux/iOS и Android. В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии. Мы ищем в нашу команду GUI программист. У нашего кандидата есть: - Опыт работы от 2х лет (желательно в геймдеве);- Знание JavaSript;- Опыт работы с React или Vue или Angular или другими реактивными фреймворками;- Базовые знания об UX и UI дизайне;- Знание MobX;- Желание работать в геймдеве и делать игры. Существенным плюсом будет: - Знание Lua, Typescript или Python;- Представление о функциональном программировании. Наше предложение финалисту: - Задачи — нетривиальные с использованием инновационных, перспективных технологий, что обеспечивает нашим решениям привлекательность и актуальность в быстро изменяющихся условиях IT-рынка;- Команда, которая выпустила launch title под консоль нового поколения — неординарные личности и специалисты своего дела;- Условия — конкурентная заработная плата, гибкий график работы, комфортный офис рядом с метро Свиблово (1 минута от метро — БЦ «Снежная»), возможность подземной парковки;- Питание — готовые бесплатные обеды в офисе; две кухни, где всегда есть чай/кофе, сладости и печеньки;- Здоровье — свежевыжатые соки, фрукты, массажные кресла, душевые в офисе, ДМС.";;Опыт работы от 2х лет (желательно в геймдеве). - Знание JavaSript. - Опыт работы с React или Vue или Angular или...;Представление о функциональном программировании.;"JavaSript; MobX";38;0.0;Frontend;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;39;Frontend-разработчик;6.0;4.0;Альтуэра Лабс;2019-12-11T12:34:44+0300;"Altuera - системный интегратор решений дистанционного обслуживания. Работает на IT-рынке РФ и СНГ с 2012 года. Altuera строит контактные центры нового поколения, внедряет и разрабатывает enterprise-решения для бизнеса. Команда Altuera - это сертифицированные эксперты и профессионалы, увлеченные современными технологиями и реализацией сложных масштабных проектов. Обязанности:  Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов); Доработка существующих интерфейсов компании; Покрытие тестами; Написание начальной технической документации  Требования:  Уверенное знание JavaScript, CSS,HTML; Знание React/Redux или Vue.js, ES6, babel, npm; Технический английский язык; Высшее образование; Bootstrap версии 3 и выше, TypeScript желательно.  Условия:   Оформление согласно ТК РФ;   Достойный уровень заработной платы (обсуждается по результатам собеседования);   ДМС;   Гибкий график, возможность удаленной работы;   Профессиональное развитие и карьерный рост, гибкость в выборе технологий и выстраивании процессов;   Уютный офис, дружный коллектив,.  ";"   Оформление согласно ТК РФ;   Достойный уровень заработной платы (обсуждается по результатам собеседования);   ДМС;   Гибкий график, возможность удаленной работы;   Профессиональное развитие и карьерный рост, гибкость в выборе технологий и выстраивании процессов;   Уютный офис, дружный коллектив,.  ";Уверенное знание JavaScript, CSS,HTML. Знание React/Redux или Vue.js, ES6, babel, npm. Технический английский язык. Высшее образование. ;Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов). Доработка существующих интерфейсов компании. Покрытие тестами. ;"JavaScript; Bootstrap; React; Redux; HTML; CSS";39;0.16666666666666666;Frontend;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;63;HTML верстальщик/Front-end разработчик;4.0;4.0;Vide Infra Group, г. Москва;2019-12-11T10:30:26+0300;Требования: Уметь переводить дизайн из макетов Figma в HTML/JS код, следуя БЭМ и используя SCSS, ES6, WebGL, Nunjucks/Twig. Важно: Знание WebGL опционально, если вместо Nunjucks/Twig вы знакомы с каким-то другим шаблонизатором — вы сможете быстро освоиться. Но без минимальной практики с ES6 вы не сможете работать. Обязанности: Используя современные технологии, каждый рабочий день выдавать отличный код, применяя креативный подход к созданию страниц и анимации на них. Условия работы: Постоянная удалённая работа, полная занятость. Необходимо открыть (после завершения тестового периода) или иметь готовое ИП. Немного о нас: Мы разрабатываем передовые сайты, выигрывающие престижные российские и международные награды за веб-дизайн.;;;Уметь переводить дизайн из макетов Figma в HTML/JS код, следуя БЭМ и используя SCSS, ES6, WebGL, Nunjucks/Twig. ;"HTML; scss; es6; JavaScript; Gulp; webpack";63;0.16666666666666666;Frontend;1;0;1;0;0;0;0;1;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
5;82;Frontend-разработчик;2.0;4.0;Волков Сергей Валерьевич;2019-12-10T17:45:45+0300;Требуется frontend-разработчик для работы над новым перспективным проектом с дальнейшей поддержкой. Функционал проекта подразумевает хранение и обработку денежных данных, реализацию личных кабинетов пользователей, создание чатов и др. Условия:  Стильный офис у метро Китай-город Стабильная зарплата дважды в месяц Рабочее место с компьютером Mac Разносторонние задачи в связи с созданием нового продукта Занятость на полный день Премии после успешных завершений этапов реализации проекта  Требования:  React Webpack или другие сборщики Навыки валидной, кроссбраузерной и адаптивной верстки Умение пользоваться системой контроля версий Git Будет плюсом: Typescript, SCSS/SASS/LESS ;  Стильный офис у метро Китай-город Стабильная зарплата дважды в месяц Рабочее место с компьютером Mac Разносторонние задачи в связи с созданием нового продукта Занятость на полный день Премии после успешных завершений этапов реализации проекта  Требования:  React Webpack или другие сборщики Навыки валидной, кроссбраузерной и адаптивной верстки Умение пользоваться системой контроля версий Git Будет плюсом: Typescript, SCSS/SASS/LESS ;React. Webpack или другие сборщики. Навыки валидной, кроссбраузерной и адаптивной верстки. Умение пользоваться системой контроля версий Git.;Требуется frontend-<highlighttext>разработчик</highlighttext> для работы над новым перспективным проектом с дальнейшей поддержкой. Функционал проекта подразумевает хранение и обработку денежных данных...;"Git; React; Webpack; HTML; CSS";82;0.16666666666666666;Frontend;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
6;8;Front-end программист/Web-программист;4.0;3.0;ПРАЙСИВА;2019-12-09T16:57:38+0300;Мы занимаемся мониторингом цен для интернет-магазинов и брендов. Собираем большие массивы данных с сайтов по всему миру, автоматически сопоставляем между собой собранные данные, осуществляем мониторинг цен на постоянной основе, строим отчеты, показываем развернутую аналитику и помогаем клиентам создавать автоматические системы ценообразования. Онлайн-сервис Priceva работает с 2016 года и ежемесячно обслуживает 200 компаний.Сейчас мы ищем в команду Front-end программиста для работы над нашим продуктом, а именно над клиентским личным кабинетом, который построен по принципу SPA.Если вы не боитесь нестандартных задач, любите узнавать новое, готовы расти профессионально, мы будем рады видеть вас на этой должности. Оставьте отклик на вакансию или свяжитесь с нами напрямую. Обязанности:  Работа над Front-end клиентского личного кабинета Разработка и проектирование нового функционала  Требования: Обязательные:   Отличное знание: JavaScript, ООП, HTML, CSS   Уверенные знания: Angular 2+ или аналогичного фреймворка, Bootstrap, jQuery, кросс-браузерности, адаптивной и отзывчивой верстки, регулярных выражений   Хорошее понимание UX/UI   Опыт работы с форматами данных: JSON, XML, Excel   Глубокое понимание принципов работы WEB, REST API   Способность разбираться в чужом коде, готовность соблюдать принятый стиль программирования, внимание к мелочам, любовь к новым знаниям.   Большим плюсом будет:   Опыт работы с TypeScript, ECMAScript 6   OOCSS, SMACSS, BEM и SASS   Хорошее понимание концепции MVC, знание шаблонов программирования, опыт написания UNIT-тестов   Способность проектировать архитектуру системы на разных уровнях   Опыт участия в разработке сложных, высоконагруженных интернет-проектов   Умение прогнозировать сроки, работать самостоятельно и в команде   Наличие хобби и сильного интереса к жизни.   Условия:   9-часовой рабочий день   5-дневная рабочая неделя   Плавающие начало рабочего дня   Возможности карьерного и профессионального роста   Бизнес центр B+ класса   Столовая с вкусной едой и низкими ценами   Рабочее место с 2 мониторами   Бесплатная парковка   Уютный офис, хороший кофе, печеньки, корпоративные мероприятия, премии, молодой коллектив  ;   9-часовой рабочий день   5-дневная рабочая неделя   Плавающие начало рабочего дня   Возможности карьерного и профессионального роста   Бизнес центр B+ класса   Столовая с вкусной едой и низкими ценами   Рабочее место с 2 мониторами   Бесплатная парковка   Уютный офис, хороший кофе, печеньки, корпоративные мероприятия, премии, молодой коллектив  ;Отличное знание: JavaScript, ООП, HTML, CSS. Уверенные знания: Angular 2+ или аналогичного фреймворка, Bootstrap, jQuery, кросс-браузерности, адаптивной и...;Работа над Front-end клиентского личного кабинета. Разработка и проектирование нового функционала.;"PHP; ООП; SQL; JavaScript; HTML; CSS; регулярные выражения";108;0.3333333333333333;Frontend;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7;25;Программист Node.JS;4.0;4.0;Агентство Медицинских Технологий;2019-12-11T15:05:52+0300;"Требуемый опыт работы: 3–6 лет Полная занятость, полный день Обязанности:  Проектирование и разработка API высокотехнологичной медицинской информационной системы; Документирование/тестирование/логирование собственного кода.  Требования:  Техническое образование; Понимание асинхронной модели JavaScript/Node.js; Знание ООП; Знание JavaScript (ES6+); Знание HTTP, REST, опыт проектирование/документирования API; Понимание принципов построения и опыт разработки высоконагруженных масштабируемых систем; Организация безопасность веб-приложений, авторизации, системы распределения прав доступа;   Обязательный опыт работы backend-разработчиком от 3-х лет; Обязательный опыт разработки на Node.js от 2-х лет (приветствуются Express и другие сопутствующие фреймворки); Обязательный опыт работы с Redis, MySQL, WebSocket/Socket.IO;   Умение самостоятельно разбираться с техническими проблемами различной степени сложности; Умения планировать свое рабочее время; Опциональный опыт, WebRTC;  Ответственность и выполнение данных ранее обещаний, подразумевается по умолчанию :) Условия:  Оформление по ТК РФ. График 5\2 (кроме аварийных ситуаций); ЗП белая, строго 2 раза в месяц; Достойное рабочее место (оборудование обсуждается с успешным кандидатом); Офис в центре Москвы (3 минуты ходьбы от метро); Офис в центре Санкт-Петербурга;   Удаленная работа и открытие офисов в других городах возможны по предварительной договоренности.       ";"  Оформление по ТК РФ. График 5\2 (кроме аварийных ситуаций); ЗП белая, строго 2 раза в месяц; Достойное рабочее место (оборудование обсуждается с успешным кандидатом); Офис в центре Москвы (3 минуты ходьбы от метро); Офис в центре Санкт-Петербурга;   Удаленная работа и открытие офисов в других городах возможны по предварительной договоренности.       ";Организация безопасность веб-приложений, авторизации, системы распределения прав доступа. Обязательный опыт работы backend-<highlighttext>разработчиком</highlighttext> от 3-х лет. ;Проектирование и разработка API высокотехнологичной медицинской информационной системы. Документирование/тестирование/логирование собственного кода.;"Redis; JavaScript; Node.js; ООП; CSS; NoSQL; HTML; jQuery; Ajax";125;0.16666666666666666;Frontend;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;30;Front end разработчик (ГИС);4.0;4.0;РеИнформ Инт.;2019-12-12T10:38:20+0300;Обязанности:· Проектирование архитектуры приложений· Разработка и поддержка frontend части для наших сервисов на Angular· Разработка SPA-приложения для работы с геоданными: визуализация, анализ, редактирование· Работа с картографическими API (Mapbox, Cesium) Требования· Высшее техническое образование· Уверенные знания JavaScript, HTML5, CSS(SCSS), ES6 (модули, классы), хорошее знание DOM-модели, API браузера· Понимание принципов работы web - ГИС приложений· Опыт разработки SPA-приложений с использованием какого-либо из фреймворков: Angular, React, Vue.js· Git· Владение английским языком на уровне чтения технической документации Будет плюсом:· Опыт разработки на Angular· Опыт использования картографических библиотек (какой-либо или нескольких из): Mapbox, Cesium, Leaflet, OpenLayers и др. Условия м.Автозаводская (близость метро) Комфортный офис Официальная з/плата (белая) Отличный коллектив (профессиональный и дружелюбный);;Высшее техническое образование. Уверенные знания JavaScript, HTML5, CSS(SCSS), ES6 (модули, классы), хорошее знание DOM-модели, API браузера. ;Проектирование архитектуры приложений. Разработка и поддержка frontend части для наших сервисов на Angular. Разработка SPA-приложения для работы с геоданными...;" CSS; JavaScript; HTML; HTML5;JavaScript";130;0.0;Frontend;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;36;Frontend разработчик (Vue.js);3.0;3.0;BR Lab;2019-12-09T19:40:50+0300;"Мы - молодая IT компания, которая делает успешные проекты в сфере онлайн - медиа. Наши издания о спорте и ставках на спорт лидеры рынка в России и СНГ. За последние 2 года мы выросли в 4 раза. Сейчас холдинг насчитывает более 230 сотрудников, 3 офиса - Москва, Краснодар и Ереван, и еще мы занимаемся международной экспансией в США.   Что мы от тебя ждем:   Опыт работы по фронтенду от 1 года   Отличные знания JavaScript, CSS, HTML, JQuery, JSON   Будет плюсом умение работать с Vue.js, SCSS, Webpack, возможностями ES6   Желательны базовые знания PHP, MySQL   Мы предлагаем:  удаленная работа, или в офисе в Москве, или Краснодаре помощь с релокацией Свобода творческой самореализации инженерных мыслей Интересные, незаурядные, вдохновляющие задачи каждый день; Гибкое начало рабочего дня, которое подходит как для жаворонков, так и для сов; Корпоративное обучение, компенсация курсов, тренингов, семинаров; Корпоративные курсы английского с носителями языка; Чай, кофе, печенье, компенсация обедов; Мощный компьютер или ноутбук по вашему выбору. Выходные с командой вне офиса (мы иногда собираем выезды или просто посиделки) Достойная и всегда своевременная оплата труда; ";"  удаленная работа, или в офисе в Москве, или Краснодаре помощь с релокацией Свобода творческой самореализации инженерных мыслей Интересные, незаурядные, вдохновляющие задачи каждый день; Гибкое начало рабочего дня, которое подходит как для жаворонков, так и для сов; Корпоративное обучение, компенсация курсов, тренингов, семинаров; Корпоративные курсы английского с носителями языка; Чай, кофе, печенье, компенсация обедов; Мощный компьютер или ноутбук по вашему выбору. Выходные с командой вне офиса (мы иногда собираем выезды или просто посиделки) Достойная и всегда своевременная оплата труда; ";Опыт работы по фронтенду от 1 года. Отличные знания JavaScript, CSS, HTML, JQuery, JSON. Будет плюсом умение работать с Vue.js...;;"HTML; HTML5; CSS3; CSS; VueJs; Vue";136;0.3333333333333333;Frontend;1;0;1;0;0;0;0;1;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0
10;40;Frontend-разработчик в Tripster (Vue, Webpack, SSR);7.0;4.0;Трипстер;2019-12-11T13:57:04+0300;Ищем сильного frontend-разработчика с опытом работы над массовыми интернет-сервисами Мы – Tripster. Делаем необычные экскурсии с местными жителями в 500+ городах мира.  Мы интернет-сервис, все бронирования экскурсий происходят через наш сайт, путешественники связываются напрямую с гидами Большие: каждый месяц на наши экскурсии ходит больше 30 000 человек Делаем классный продукт, за что нас любят путешественники  Задачи Предстоит заниматься построением фронтенда системы бронирования экскурсий мирового уровня. У нас много разных непростых интерфейсов – фильтры, сложные формы, календари доступности, чаты гида и путешественника, поиск, поисковые выдачи etc. Требования  Отличный JavaScript, от двух лет разработки на Vue, React или Angular (у нас Vue)  Webpack, SSR   HTML/CSS, верстка   Git   Плюсом будут знание Pug, Sass, Backbone   Что предлагаем  Работу в небольшой, но быстрой и сильной команде Сложные и интересные задачи Фул-тайм в нашем московском офисе в 10 минутах от ст.м. Добрынинская/Павелецкая Занятость 5/2, адекватную вам и рынку зарплату   ;;Ищем сильного frontend-<highlighttext>разработчика</highlighttext> с опытом работы над массовыми интернет-сервисами. Отличный JavaScript, от двух лет разработки на Vue, React...;Предстоит заниматься построением фронтенда системы бронирования экскурсий мирового уровня. У нас много разных непростых интерфейсов – фильтры, сложные формы, календари доступности...;"JavaScript; Git; vue.js; webpack; HTML; CSS; Sass; Pug; SSR; Node.js";140;0.16666666666666666;Frontend;1;0;0;1;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0
