;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Python; Linux; Git; Django Framework; SQL; PostgreSQL; распознавание лиц; Системы видеонаблюдения; удаленная работа; aiohttp; ООП; REST; Flask; MS Visio; SQLite;CSS; JavaScript; MySQL; HTML; Python;Другие навыки
0;26;Senior Python программист на удаленную работу;3.0;3.0;Whalesburg s.r.o.;2019-12-10T21:38:08+0300;"Мы Город Китов - компания с российскими корнями в Праге, Чехия. Внедряем технологию распознавания лиц в систему охраны промышленных объектов. Хотим усилить команду разработки. На удалёнку и полный рабочий день требуется ещё один разработчик с опытом работы в данной сфере.Проект интересный: необходимо в реальном времени анализировать 72 видеопотока по 4мп каждый и распознавать лица при помощи библиотеки dlib (любой другой обоснованный вариант приветствуется). На сервере стоят 8 видеокарт 1080Ti, на чьих CUDA ядрах и творится магия. Ваша работа будет в разработке модуля распознавания, бек и фронт есть кому программировать.Что применяем в проекте: Python, dlib, React.js, Redux, Ruby, docker, CircleCI, Jira, Confluence, Slack. Обязательно знать только первые два пункта.   Что нужно делать:  Имеются более тысячи сканов паспортов, лица в которых требуется в реальном времени сверять с видео камер наблюдения; Каждый метод описывать в документации Confluence; Работать с Backend разработчиком - микросервисная архитектура; Разрабатывать внутренний API; Следить за красотой и аккуратностью своего кода; Писать тесты; CI/CD; Писать ежедневные отчёты (сделал, делаю, затруднения).    Требования:  Отличное знание Python; Опыт разработки ПО по распознаванию лиц; 8 часовой рабочий день; Испытательный срок месяц.    Условия:  Удалённая работа; Возможна рабочая виза в Чехии; Зарплата без задержек 2 раза в месяц; Бонусы за соблюдение требований и переработку; Оплата тренингов и курсов связанных с актуальными задачами; Оплата сторонних профессионалов для консультаций и обучения; Помощь в решении личных вопросов; Отпуск по договоренности; Выходные - святое! ";"  Удалённая работа; Возможна рабочая виза в Чехии; Зарплата без задержек 2 раза в месяц; Бонусы за соблюдение требований и переработку; Оплата тренингов и курсов связанных с актуальными задачами; Оплата сторонних профессионалов для консультаций и обучения; Помощь в решении личных вопросов; Отпуск по договоренности; Выходные - святое! ";Отличное знание Python. Опыт разработки ПО по распознаванию лиц. 8 часовой рабочий день. Испытательный срок месяц.;Каждый метод описывать в документации Confluence. Работать с Backend <highlighttext>разработчиком</highlighttext> - микросервисная архитектура. Разрабатывать внутренний API. Следить за красотой и аккуратностью...;"Python; распознавание лиц; Системы видеонаблюдения; удаленная работа";26;0.16666666666666666;Питон;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;67;Python разработчик;4.0;3.0;MrBot;2019-12-12T12:32:19+0300;"В команду MrBot требуется Python разработчик для работы над нашими проектами в сфере AdTech. Наша команда более 4 лет успешно запускает проекты с такими брендами как PepsiCo, Loreal, МТС, и такими агентствами как OMD, Publicis, GroupM, Dentsu, ADV. Недавно мы стали резидентами Сколково, развиваем международные направления. Обязанности:  Участие в обсуждении архитектуры продукта; Разработка backend на python 3.6; Работа с базой данных на PostgreSQL 9.6; Поддержка и доработка существующих проектов; Будет плюсом участие в разработке frontend части проекта.  Требования:  Знание Python 3.5+; Опыт работы с Django или другими фреймворками, особенно с асинхронными; Умение писать простые SQL-запросы; Опыт создания REST API сервисов; Владение командной строкой Linux.  Условия:  Участвовать во всех процессах разработки, вносить вклад в продукт Не очень строгий график работы: мы за результат, а не за часы в Jira Офис на м. Белорусская с пуфиками и PlayStation Соблюдение ТК РФ, оформление с первого рабочего дня  Мы ждем тебя!";  Участвовать во всех процессах разработки, вносить вклад в продукт Не очень строгий график работы: мы за результат, а не за часы в Jira Офис на м. Белорусская с пуфиками и PlayStation Соблюдение ТК РФ, оформление с первого рабочего дня  Мы ждем тебя!;Знание Python 3.5+. Опыт работы с Django или другими фреймворками, особенно с асинхронными. Умение писать простые SQL-запросы. ;Участие в обсуждении архитектуры продукта. Разработка backend на python 3.6. Работа с базой данных на PostgreSQL 9.6. ;"Python; aiohttp";67;0.0;Питон;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;72;Младший разработчик (Python);4.0;3.0;Лаборатория Наносемантика;2019-12-10T12:41:28+0300;"Компания «Виртуальные Ассистенты» создана ООО «Лаборатория Наносемантика» для реализации проекта «SMART OPEN VIRTUAL ASSISTANT (SOVA)». Мы – лидеры российского рынка технологий искусственного интеллекта, нацеленных на решение бизнес-задач крупных корпораций. Основной целью проекта SOVA является разработка голосовой операционной системы – открытой платформы, которая позволит оснащать устройства голосовым интерфейсом, создавать голосовых и текстовых умных ассистентов с открытым кодом. Вакансия открыта по причине расширения штата.   В свою дружную команду мы приглашаем Младшего разработчика python: Обязанности:  Поддержка и разработка бэкэнд сервисов текущих и будущих проектов; Разработка и поддержка интеграций с внешними сервисами; Анализ внешних систем на тему возможности интеграции; Разработка и поддержка внутренних продуктов.  Требования:  Опыт работы от 2 лет; Высшее образование; Хорошее знание Python; Понимание принципов RestAPI; Опыт работы с Git или аналогичными системами; Понимание принципов ООП; Понимание основ SQL; Плюсами будет:  ◦ Хорошее знание PHP; ◦ Опыт работы с Postgres; ◦ Опыт работы с Docker и Kubernetes; ◦ Опыт использования Nginx | Apache. Условия:   Офис в БЦ Верейская плаза-3, в транспортной доступности от метро Славянский Бульвар (10 минут корпоративным транспортом);   Полностью официальная заработная плата: оклад по результатам собеседования;   Отличный молодежный коллектив, интересная и динамичная работа;   Оформление по ТК РФ с первого рабочего дня;   Возможности для профессионального и карьерного роста;   Вкусное и разнообразное питание в офисе, своя кухня;   Тренажерный зал, оборудованный душевыми и раздевалками.  ";"   Офис в БЦ Верейская плаза-3, в транспортной доступности от метро Славянский Бульвар (10 минут корпоративным транспортом);   Полностью официальная заработная плата: оклад по результатам собеседования;   Отличный молодежный коллектив, интересная и динамичная работа;   Оформление по ТК РФ с первого рабочего дня;   Возможности для профессионального и карьерного роста;   Вкусное и разнообразное питание в офисе, своя кухня;   Тренажерный зал, оборудованный душевыми и раздевалками.  ";Опыт работы от 2 лет. Высшее образование. Хорошее знание Python. Понимание принципов RestAPI. Опыт работы с Git или аналогичными системами. ;Поддержка и разработка бэкэнд сервисов текущих и будущих проектов. Разработка и поддержка интеграций с внешними сервисами. Анализ внешних систем на...;"Python; Linux; Git; Django Framework; SQL";72;0.3333333333333333;Питон;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;17;Ведущий программист Python;4.0;3.0;Старлинк;2019-12-11T11:01:05+0300;Мы разрабатываем информационные системы для государства.Сервисы, сделанные нашими специалистами, работают в Минцифре, ФНС и других ведомствах. Чтобы делать проекты еще быстрее, мы начали разработку собственной микросервисной платформы. У нас еще нет legacy-кода, мы любим современные технологии разработки, сборки и тестирования веб-приложений. Ищем бэкенд-разработчика, который возглавит создание ядра платформы. Наш идеальный кандидат не менее 4-5 лет разрабатывает на Python.Отлично знает современный OpenSource, знаком с принципами проектирования высоконагруженных проектов. Умеет работать как с реляционными СУБД, так и с NoSQL-решениями. Отличает REST от RPC, умеет спроектировать API. Понимает, когда нужна асинхронная обработка данных, разбирается в Kafka или RabbitMQ. А еще он понимает, как разрабатывать проекты в команде, управлять изменениями, проводить регрессионное и нагрузочное тестирование, обеспечивать мониторинг решений, сбор и обработку бизнес-метрик в Elastic. Умеете всё это и даже больше?Вы и наша компания - идеальная пара. У нас нет бюрократии госкомпаний, здравый смысл для нас важнее следования инструкциям. Мы предлагаем действительно гибкий график работы, с возможностью работать как в современном офисе, так и удаленно. Мы вкладываемся в развитие наших сотрудников, потому что понимаем, что растем вместе с вами. Мы вас убедили?Приходите делать проекты в масштабе страны, присоединяйтесь к нашей команде! И немного стандартного текста с условиями:Наша компания выплачивает оклад и квартальную премию, оформляет отношения по ТК РФ, оплачивает ДМС. И последнее: 15 января мы переезжаем в новый офис, по адресу: м. Краснопресненская, БЦ Сибирь.;;Наш идеальный кандидат не менее 4-5 лет разрабатывает на Python. Отлично знает современный OpenSource, знаком с принципами проектирования высоконагруженных...;А еще он понимает, как разрабатывать проекты в команде, управлять изменениями, проводить регрессионное и нагрузочное тестирование, обеспечивать мониторинг решений, сбор...;"Python; Linux; ООП; SQL; REST";117;0.16666666666666666;Питон;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;49;Программист Python/Разработчик Python;4.0;3.0;Диджитал Энерджи;2019-12-10T18:12:03+0300;"Обязанности: Наша команда ищет опытного Python разработчика под новый проект в области оркестрации среды виртуализации. Пишем новые модули и функциональные блоки, поддерживаем и развиваем существующий код.Основа нашего проекта - open-source компоненты и модули собственной разработки. Какие задачи предстоит решать:Проектировать и разрабатывать новый функционал в области оркестрации среды виртуализации;Сопровождать и оптимизировать существующий код оркестратора среды виртуализации, обеспечивать бесперебойность и производительность при модификациях системы. Поиск узких мест и их устранение;Взаимодействовать с другими участниками команды для проектирования нового функционала;Разрабатывать качественное API. Что для этого необходимо (по нашему мнению):уверенный Python-программист, умение писать хороший код на Python;уровень Linux достаточный, чтобы зайти на сервер и не растеряться;умение и готовность покрывать свой код тестами;ответственность, стремление к профессиональному росту и инициатива. Огромный плюс(что-нибудь из этого):Опыт с HighloadDevOps бэкграунд (Ansible, Docker, Kubernetes, системы мониторинга)опыт перехода от монолита к микросервисной архитектурезнание других серверных языков (go, elixir, ruby/rails, php) У нас:Классный офис в центре МосквыРыночная зарплата по результатам собеседования;График работы - 10:00 - 19:00 или 11:00 - 20:00;Интересный проект и профессиональная, дружная команда  ";;Уверенный Python-<highlighttext>программист</highlighttext>, умение писать хороший код на Python. Уровень Linux достаточный, чтобы зайти на сервер и не растеряться. ;Проектировать и разрабатывать новый функционал в области оркестрации среды виртуализации. Сопровождать и оптимизировать существующий код оркестратора среды виртуализации, обеспечивать бесперебойность...;"Python; Linux; Flask";149;0.16666666666666666;Питон;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;60;Разработчик Python;6.0;3.0;BORK;2019-12-10T17:19:49+0300;Обязанности:  Общения с системами поставщиков Консолидации полученных от поставщиков данных и публикации в нашей БД Работы с системами заказов Различные интеграции между внутренними подразделениями Поддержки программы лояльности Настройки мониторинга Дополнительные проекты  Требования:  Отличные знания Python (версия 3, нет необходимости переноса легаси-кода) Умение строить REST API на Flask (или аналогично по функционалу) Знание Mongo (SQLite, что-либо аналогичное) Redis, Docker, Nginx Опыт работы с Git (git-flow) - Неплохо, если есть навык обращения с Linux (centos) и навыки тестирования разработанных участков кода, где это уместно В идеале - практика TDD Опыт проектирования сложных систем Ответственный, аналитический склад ума  Условия:  Сложные и интересные задачи, которые каждый день будут проверять Ваши навыки и профессионализм на прочность Достойное вознаграждение с учетом конкретных результатов Команда единомышленников Эксклюзивные предложения на приобретение продукции компании ДМС Наш шеф-повар приятно удивит Вас полезными завтраками и вкусными обедами за счет компании Место работы: Москва-Сити, башня Империя Возможность удаленной работы ;  Сложные и интересные задачи, которые каждый день будут проверять Ваши навыки и профессионализм на прочность Достойное вознаграждение с учетом конкретных результатов Команда единомышленников Эксклюзивные предложения на приобретение продукции компании ДМС Наш шеф-повар приятно удивит Вас полезными завтраками и вкусными обедами за счет компании Место работы: Москва-Сити, башня Империя Возможность удаленной работы ;Отличные знания Python (версия 3, нет необходимости переноса легаси-кода). Умение строить REST API на Flask (или аналогично по функционалу). ;"Общения&quot; с системами поставщиков. Консолидации полученных от поставщиков данных и публикации в нашей БД. Работы с системами заказов. ";"Python; Linux; Git; MS Visio; SQLite";160;0.16666666666666666;Питон;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
6;95;Программист Python;4.0;3.0;ФГУП ГосНИИАС;2019-12-10T15:03:52+0300;Описание вакансии Подразделение искусственного интеллекта ГосНИИ АС предлагает интересную прикладную работу для программиста python. Мы ищем в наш проект талантливых программистов с опытом коммерческой разработки. Обязанности:  разработка и поддержка клиент-серверного приложения для агрегации и анализа данных. написание проектной документации  Требования:  опыт работы python программистом более 3х лет. опыт коммерческой разработки в команде (в том числе навыки работы с системами контроля версий - Git/Mercurial, системами управления разработкой - Jira/Trac/Redmine) опыт работы с какими-либо базами данных (любого типа - SQL, NoSQL)  Плюсом является:  опыт работы с Docker опыт работы с web-фреймворками (Django/Pyramid/Flask) опыт работы с библиотеками анализа и визуализации данных (pandas, matplotlib и т.д.) понимание принципов работы HTTP и REST API опыт работы с офисными документами, PDF и HTML из кода умение работать в bash  Условия:  Оформление по ТК РФ Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив. Спортзал, детсад для детей ;  Оформление по ТК РФ Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив. Спортзал, детсад для детей ;Опыт работы python <highlighttext>программистом</highlighttext> более 3х лет. Опыт коммерческой разработки в команде (в том числе навыки работы с системами...;Разработка и поддержка клиент-серверного приложения для агрегации и анализа данных. Написание проектной документации.;"Python; Django Framework; Git; SQL";195;0.3333333333333333;Питон;1;0;0;1;0;0;1;0;1;0;0;0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;40;Python разработчик (Django);3.0;2.0;Интернет Лид;2019-12-10T23:09:02+0300;"  Описание Компания-разработчик программного продукта для сферы образования «Интернет Лид» приглашает на работу активных людей для долгосрочного сотрудничества, материального и профессионального роста на позицию python full-stack разработчика в удаленную команду. О компании С 2011 года ООО “Интернет Лид” занимается разработкой и внедрением веб-сервисов для системы образования. Команда имеет опыт более 9 лет в проектировании систем и работе с образовательными организациями и пользователями образовательных услуг. О продукте Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов и центров развития (сотрудников и родителей). Требования к кандидату:  Опыт работы с Python/Django от 1 года;    Будет плюсом:  Опыт работы с REST API; Знание Linux OS and Postgres DB; Опыт работа с Version Control Systems (Git); Хорошее знание HTML, CSS, JavaScript. Знакомство с PHP, MySQL, Wordpress. Опыт работы в команде; Хороший письменный и разговорный английский; Опыт в тестировании кода.    Наши условия работы:  Удаленная работа, частичная занятость с оговариваемым графиком или full-time ; Разносторонние интересные проекты; Развитие растущего многопользовательского сервиса.     ";;Опыт работы с Python/Django от 1 года. Будет плюсом: Опыт работы с REST API. Знание Linux OS and Postgres...;О продукте. Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов...;"CSS; Git; Linux; PostgreSQL; JavaScript; MySQL; Django Framework; HTML; Python";240;0.16666666666666666;Питон;1;0;1;0;0;0;0;1;1;0;0;0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
8;58;Программист Python в конструкторское бюро;4.0;3.0;МНИТИ;2019-12-10T18:25:23+0300;"Обязанности: Разработка приложений на Python, связанных с обработкой текстовых данных. Требования:  Базовое профильное образование; Опыт программирования на Python; Опыт работы с Django, scikit-learn, teansorflow$ Знание основ SQL; Дружба с Linux  Условия: Оформление по ТК, соцпакет. Начальный уровень зарплаты определяется по результатам собеседования. Дополнительные премии по результатам работы, премия по итогам работы за год. Работа 5/2 10 мин. пешком от М «Электрозаводская» Действует аспирантура. Имеется своя столовая.  "; Оформление по ТК, соцпакет. Начальный уровень зарплаты определяется по результатам собеседования. Дополнительные премии по результатам работы, премия по итогам работы за год. Работа 5/2 10 мин. пешком от М «Электрозаводская» Действует аспирантура. Имеется своя столовая.  ;Базовое профильное образование. Опыт программирования на Python. Опыт работы с Django, scikit-learn, teansorflow$. Знание основ SQL. Дружба с Linux.;Разработка приложений на Python, связанных с обработкой текстовых данных.;"Python; Linux; Git; Django Framework; SQL";258;0.16666666666666666;Питон;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;73;Разработчик Python;4.0;4.0;Асимметрик VFX (Asymmetric VFX Studio);2019-12-11T14:05:16+0300;Asymmetric Studios – одна из лидирующих в России студий визуальных эффектов и анимации. Главный офис расположен в Москве, дополнительные в Таллинне (Эстония) и Барселоне (Испания). Ядро студии составляют 40 высококвалифицированных специалистов (аниматоры, художники, продюсеры, супервайзеры, программисты). Мы активно сотрудничаем с ведущими мировыми рекламными агентствами и продакшн компаниями. На текущий момент в работе несколько полнометражных анимационных проектов и художественных фильмов. Область работы: Разработка узлов in-house ERP для CG-производства. Отсутвие бюрократии. Большая свобода в выборе инструментов, технологий и архитектурных решений при исполнении задач. Широкий спектр задач разработки по направлениям:  автоматизация производства data management workflow management анализ производственной статистики  Используемый стек технологий: backend: Python, Django, PostgreSQL, RabbitMQ, Redis frontend: JavaScript/TypeScript, Angular + NGRX, PyQt/PySide   Обязанности:  разработка базовое функциональное тестирование взаимодействие с конечным пользователем в рамках производственного тестирования рефакторинг  Требования:  знание Python понимание принципов ООП базовые знания SQL навыки работы с Git  Будет плюсом:  знание JavaScript(TypeScript) базовые навыки верстки опыт работы с PyQt/PySide понимание принципов разработки по DDD  А также:  коммуникабельность гибкость в выборе реализации умение декомпозировать задачи высокий уровень вовлеченности мультизадачность  Условия:  обсуждаемые способы оплаты (белые) для влившихся сотрудников - возможна релокация в европейские филиалы компании уровень оплаты по результатам технического и личного интервью оплачиваемый отпуск 2 недели раз в полгода оплачиваемые больничные листы начало рабочего дня по договоренности просторный офис, творческий коллектив гарантированное место в титрах фильмов, работу над которыми ведет студия ;  обсуждаемые способы оплаты (белые) для влившихся сотрудников - возможна релокация в европейские филиалы компании уровень оплаты по результатам технического и личного интервью оплачиваемый отпуск 2 недели раз в полгода оплачиваемые больничные листы начало рабочего дня по договоренности просторный офис, творческий коллектив гарантированное место в титрах фильмов, работу над которыми ведет студия ;Знание Python. Понимание принципов ООП. Базовые знания SQL. Навыки работы с Git. Знание JavaScript(TypeScript). Базовые навыки верстки. ;Автоматизация производства. Data management. Workflow management. Анализ производственной статистики. Разработка. Базовое функциональное тестирование. Взаимодействие с конечным пользователем в рамках производственного...;"Python; Django Framework; PostgreSQL; Git; JavaScript/TypeScript; AngularJS; PyQt; PySide; Linux";273;0.16666666666666666;Питон;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
10;40;Программист Python;4.0;3.0;РТИ;2019-12-10T11:26:27+0300;Обязанности:  Анализ технических заданий, технических требований и постановок задач на разработку программного обеспечения Участие в разработке архитектуры программного обеспечения Написание исходных текстов программ в соответствии с утвержденной архитектурой Отладка и оптимизация программного обеспечения Сопровождение разработанного программного обеспечения, в том числе его доработка и корректировка  Требования:  Отличное знание Python Хорошее знание SQL (желательно опыт работы с PostgreSQL и PL/pgSQL) Желательно опыт работы с PostGIS Умение работать в Unix-окружении Опыт командной разработки (с использованием Confluence, Jira, Git)  Условия:   У нас множество интересных задач. Став частью нашей команды, Вы будете участвовать в реализации проектов, качественно меняющих подходы к управлению государством и бизнесом   Достойная оплата за эффективный труд   Дружный коллектив единомышленников  Рабочее место: г. Москва, ул. 8-го Марта ;Отличное знание Python. Хорошее знание SQL (желательно опыт работы с PostgreSQL и PL/pgSQL). Желательно опыт работы с PostGIS. ;Анализ технических заданий, технических требований и постановок задач на разработку программного обеспечения. Участие в разработке архитектуры программного обеспечения. ;"PostgreSQL; Python; Git; Atlassian Jira; SQL";   У нас множество интересных задач. Став частью нашей команды, Вы будете участвовать в реализации проектов, качественно меняющих подходы к управлению государством и бизнесом   Достойная оплата за эффективный труд   Дружный коллектив единомышленников  Рабочее место: г. Москва, ул. 8-го Марта ;340;0.3333333333333333;Питон;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
11;82;Программист-разработчик Python;4.0;3.0;ЮК-Консалтинг;2019-12-11T12:46:46+0300;"Основным проектом будет создание различных внутренних сервисов мобильного оператора. Десятки миллионов жителей России будут пользоваться тем, что вы будете создавать. Задачи:  Разработка нового функционала серверных платформы Рефакторинг и оптимизация существующего кода Разработка программных тестов Работа с командой DevOps  Требования:  Уверенное знание python3 Опыт работы с sqlalchemy (с чем-нибудь из списка: postgresql, mysql, mssql или oracle) Стек разработки: flask/zeep asyncio Опыт написания unit-тестов (unittest или pytest) Опыт работы с командными инструментами git, jira или аналогичными  Желательно:  Разработка программных тестов Знакомство с NoSQL Понимание принципа построения конвейера автоматической сборки/поставки Понимание того, как создавать проекты с нуля до выкладки на продакшен и сопровождения Опыт работы с Docker Docker-Compose, Kubernetes; Создание микросервисов  Условия:  Пятидневная рабочая неделя, гибкое начало рабочего дня Официальная заработная плата обсуждается с успешными кандидатами на собеседовании (оклад + годовые премии); Испытательный срок 3 месяца; ДМС после испытательного срока; Компенсация 50% фитнеса и английского языка после испытательного срока; Офис 5-7 минут пешком от м. Крестьянская застава/Пролетарская, 10 минут - от метро Таганская/Марксистская. ";Уверенное знание python3. Опыт работы с sqlalchemy (с чем-нибудь из списка: postgresql, mysql, mssql или oracle). ;Разработка нового функционала серверных платформы. Рефакторинг и оптимизация существующего кода. Разработка программных тестов. Работа с командой DevOps.;"Git; docker; PostgreSQL; MySQL; Linux; Python; Atlassian Jira; Flask; Unit Testing";"  Пятидневная рабочая неделя, гибкое начало рабочего дня Официальная заработная плата обсуждается с успешными кандидатами на собеседовании (оклад + годовые премии); Испытательный срок 3 месяца; ДМС после испытательного срока; Компенсация 50% фитнеса и английского языка после испытательного срока; Офис 5-7 минут пешком от м. Крестьянская застава/Пролетарская, 10 минут - от метро Таганская/Марксистская. ";382;0.16666666666666666;Питон;1;0;0;0;1;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
12;95;Python/Go Developer;4.0;3.0;ДомКлик;2019-12-11T11:02:54+0300;"Мы - это продуктовая IT компания по созданию highload проектов в сфере недвижимости. Наш основной проект - DomClick.ru - это платформа для проведения сделок по недвижимости, доступная на всех популярных платформах (Web, iOS, Android).   Почему мы:  Интересный и без сомнений востребованный продукт. Вы сможете улучшить ипотеку одного из крупнейших банков как с точки зрения оптимизации прибыли, так и user experience. У нас сильная, веселая и молодая команда разработчиков. Многие работали в Яндексе, ABBYY, Рамблере. Мы используем современные технологии: Python, Postgres, Docker, Kubernetes, Keras/TensorFlow. Практикуем continuous integration и continuous delivery; код в bitbucket, задачи в jira и т.д. Взрослый девопс, highload. Бизнес-руководство, нацеленное на результат. Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение задач других команд. Высокие темпы работы, разработанные решения очень быстро попадают в продакшн.    Сейчас мы ищем разработчиков, которые будут:  Заниматься реализацией сервисов на языках Python\Go; Проектировать и разрабатывать отказоустойчивую архитектуру; Писать unit/api/интеграционные тесты; Проводить code review;    Мы ожидаем, что сильные разработчики:  Успешно поработали на аналогичной позиции; Пробовали: Tornado/Django/Pyramid; Работали с Docker, раскатывали ansible, слышали про kubernetes; Бродкастили и консьюмерили в RabbitMQ; Имеют опыт работы с реляционными СУБД (у нас PostgreSQL).   ";Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы...;Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение...;;"Python; Linux; Git; Django Framework; SQL";395;0.16666666666666666;Питон;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
